Tag,Department
pothole,Public Works Department (PWD)
garbage,Health & Sanitation Department
water_leak,Water Supply & Sewarage Department
water_shortage,Water Supply & Sewarage Department
contaminated_water,Health & Sanitation Department
electric_pole,Electricity Department
street_light,Street Light Department
power_outage,Electricity Department
drainage,Water Supply & Sewarage Department
public_sanitation,Health & Sanitation Department
missing_signage,Transport Department
public_safety,Town Planning Department
dead_tree,Horticulture & Parks Department
park_maintenance,Horticulture & Parks Department
stray_animals,Animal Control & Veterinary Services
air_pollution,Pollution Control Board
noise_pollution,Town Planning Department
traffic_jam,Transport Department (RTO)
missing_bus_stop,Transport Department (RTO)
